,,Código,, Descrição,NCM,,ICMS,,Unid.,,QTD.,,Vlr Unit.,,,Vlr.Total
,54843,, NIMESULIDA 100MG 12CP,,,30049079,,Subs. Trib,,UN,,9,,1.44,12.96,
,86973,, NIMESULIDA 100MG 12CP,,,30049099,,Subs. Trib,,UN,,49,,1.72,84.28,
,86132,, NISTATINA 100.000UI/ML LIQ 50M,,,30049099,,Subs. Trib,,UN,,4,,7.1,28.4,
,31143,, NISTATINA CR VAG APL 60G,,,30049099,,Subs. Trib,,UN,,1,,11.17,11.17,
,18667,, NISTATINA+OX ZINC POM DERM 60G,,,30049099,,Subs. Trib,,UN,,119,,9.36,1113.84,
,57385,, NISTATINA+OX ZINC POM DERM 60G,,,30042099,,Subs. Trib,,UN,,17,,7.62,129.54,
,82036,, NITAZOXANIDA 20MG/ML SUS 45ML,,,30049099,,Subs. Trib,,UN,,2,,12.08,24.16,
,87363,, NITAZOXANIDA 20MG/ML SUS 45ML,,,30049079,,Subs. Trib,,UN,,2,,12.3,24.6,
,31043,, NITROFURANTOINA 100MG 28CAP D,,,30049079,,Subs. Trib,,UN,,1,,7.6,7.6,
,20676,," NOCICLIN 0,15MG+0,03MG 21CP",,,30066000,,Subs. Trib,,UN,,8,,3.84,30.72,
,14413,, NOEX 100MCG SPR 100DOS,,,30043999,,Subs. Trib,,UN,,2,,61.87,123.74,
,14402,, NOEX 32MCG SPR 120DOS,,,30043999,,Subs. Trib,,UN,,2,,37.5,75,
,14401,, NOEX 50MCG SPR 200DOS,,,30043999,,Subs. Trib,,UN,,2,,62.92,125.84,
,14209,, NOEX 64MCG SPR 120DOS,,,30043999,,Subs. Trib,,UN,,2,,57.79,115.58,
,35025,," NORESTIN 0,35MG 35CP",,,30066000,,Subs. Trib,,UN,,2,,12.1,24.2,
,87328,," NORETISTERONA 0,35MG 35CP",,,30049099,,Subs. Trib,,UN,,2,,7.44,14.88,
,84106,, NORETISTERONA+ESTR AMP 1ML,,,30049099,,Subs. Trib,,UN,,9,,10.41,93.69,
,85151,, NORIFERUM 50MG/ML GTS 30ML,,,21069030,,Subs. Trib,,UN,,2,,14.05,28.1,
,86373,, NORIPURUM 100MG 30CP MAST,,,30049099,,Subs. Trib,,UN,,1,,63.32,63.32,
,41692,, NORIPURUM 10MG/ML XPE 120ML,,,30049099,,Subs. Trib,,UN,,1,,30.24,30.24,
,86443,, NORIPURUM FOLICO 30CP MAST,,,30049099,,Subs. Trib,,UN,,1,,65.35,65.35,
,42345,, NOTUSS TSS 3 MG/ML XPE ADT 120,,,30049099,,Subs. Trib,,UN,,2,,20.21,40.42,
,41887,, NOVACORT CR DERM 30G,,,30049079,,Subs. Trib,,UN,,1,,38.27,38.27,
,41888,, NOVACORT POM DERM 30G,,,30049079,,Subs. Trib,,UN,,1,,36.66,36.66,
,9341,, NOVALGINA 1G 10CP,,,30049069,,Subs. Trib,,UN,,3,,21.51,64.53,
,84375,, NOVALGINA 500MG/ML GTS 10ML,,,30049069,,Subs. Trib,,UN,,2,,14.74,29.48,
,87154,, NOVALGINA 50MG/ML LIQ 100ML,,,30049099,,Subs. Trib,,UN,,4,,39.74,158.96,
,21991,," OCTIFEN 0,25MG/ML COL 5ML",,,30049079,,Subs. Trib,,UN,,2,,31.22,62.44,
,62422,, OLEO DE ALHO 500MG 60CAP,,,21069030,,Subs. Trib,,UN,,1,,16.57,16.57,
,88168,, OLEO DE COCO 1000MG 60CAP,,,21069030,,Subs. Trib,,UN,,1,,32.58,32.58,
,34699,, OLEO MINERAL LIQ 100ML,,,33049990,,Subs. Trib,,UN,,3,,8.8,26.4,
,52401,, OLEO MINERAL LIQ 100ML,,,30049099,,Subs. Trib,,UN,,4,,5.54,22.16,
,88772,, OLMESART+ANL 20MG+5MG 30CP,,,30049099,,Subs. Trib,,UN,,2,,27.01,54.02,
,87566,, OLMESART+ANL 40MG+5MG 30CP,,,30049099,,Subs. Trib,,UN,,4,,27.7,110.8,
,44083,," OLMESART+HCTZ 20MG+12,5MG 30CP",,,30049099,,Subs. Trib,,UN,,3,,17.24,51.72,
,44082,, OLMESART+HCTZ 40MG+25MG 30CP,,,30049099,,Subs. Trib,,UN,,1,,20.19,20.19,
,81572,, OLMESARTANA 20MG 30CP REV,,,30049079,,Subs. Trib,,UN,,1,,13.03,13.03,
,88316,, OLMESARTANA 20MG 30CP REV,,,30049099,,Subs. Trib,,UN,,5,,12.19,60.95,
,87963,, OLMESARTANA 40MG 30CP REV,,,30049079,,Subs. Trib,,UN,,2,,18.48,36.96,
,86801,, OMEGA 3 TR FON 1000MG 60CAP,,,21069030,,Subs. Trib,,UN,,2,,18.76,37.52,
,86745,, OMEGA 3 TRIP FON 1000MG 120CAP,,,21069030,,Subs. Trib,,UN,,1,,27.23,27.23,
,86300,, OMEPRAZOL 20MG 28CAP DURA L.R,,,30049099,,Subs. Trib,,UN,,5,,3.55,17.75,
,55013,, OMEPRAZOL 20MG 56CAP DURA L.R,,,30049069,,Subs. Trib,,UN,,14,,5.21,72.94,
,76635,, ONCICREM A 1MG/G POM 10G,,,30043290,,Subs. Trib,,UN,,4,,5.29,21.16,
,20949,, ONCILEG A 1MG/G POM BUC 10G,,,30049099,,Subs. Trib,,UN,,3,,5.26,15.78,
,20451,, ONCILEG CR DERM 30G,,,30049099,,Subs. Trib,,UN,,2,,13.47,26.94,
,86690,, ONDANSETRONA 4MG 10CP OROD,,,30049099,,Subs. Trib,,UN,,9,,4.22,37.98,
,88430,, ONDANSETRONA 4MG 30CP OROD,,,30049099,,Subs. Trib,,UN,,1,,8.26,8.26,
,87426,, ONDANSETRONA 8MG 10CP OROD,,,30049069,,Subs. Trib,,UN,,10,,7.21,72.1,
,88039,, ONDIF 4MG 10FILM,,,30049099,,Subs. Trib,,UN,,3,,34.46,103.38,
,88040,, ONDIF 8MG 10FILM,,,30049099,,Subs. Trib,,UN,,3,,72.09,216.27,
,86502,, ONDRAU 8MG 10CP OROD,,,30049099,,Subs. Trib,,UN,,9,,10.79,97.11,
,48941,, OPTIVE COL 10ML,,,30049099,,Subs. Trib,,UN,,2,,60.62,121.24,
,83731,, ORLISTATE 120MG 42CAP,,,30049099,,Subs. Trib,,UN,,2,,43.29,86.58,
,54545,, OTO BETNOVATE SOL OTO 10ML,,,30049099,,Subs. Trib,,UN,,1,,28.95,28.95,
,41475,, OTO-XILODASE SOL OTOL 8ML,,,30049043,,Subs. Trib,,UN,,3,,21.94,65.82,
,20392,, OTOMIXYN SOL OTOL 5ML,,,30042099,,Subs. Trib,,UN,,5,,3.64,18.2,
,42478,, OXOTRON 60MG 15CP,,,30049029,,Subs. Trib,,UN,,2,,32.05,64.1,
,32812,, PANTOPRAZOL 20MG 28CP REV L.R,,,30049099,,Subs. Trib,,UN,,6,,4.43,26.58,
,85937,, PANTOPRAZOL 20MG 28CP REV L.R,,,30049099,,Subs. Trib,,UN,,8,,4.88,39.04,
,86974,, PARACETAMOL 500MG 20CP,,,30049045,,Subs. Trib,,UN,,8,,4,32,
,86975,, PARACETAMOL 500MG ENV 10CP REV,,,30049045,,Subs. Trib,,UN,,89,,1.96,174.44,
,45352,, PARACETAMOL 750MG 10CP,,,30049045,,Subs. Trib,,UN,,1,,1.64,1.64,
,87261,, PARACETAMOL 750MG 20CP REV,,,30049045,,Subs. Trib,,UN,,17,,2.54,43.18,
,86361,, PARACETAMOL 750MG ENV 10CP REV,,,30049045,,Subs. Trib,,UN,,52,,2.34,121.68,
,34689,, PASTA D AGUA SIMPLES CR 135G,,,30049099,,Subs. Trib,,UN,,2,,9.02,18.04,
,88504,, PEAMID 300MG 30CP,,,21069030,,Subs. Trib,,UN,,1,,61.9,61.9,
,58147,," PEDIDERM 0,2MG/ML LOC 100ML",,,30049099,,Subs. Trib,,UN,,3,,7.16,21.48,
,87455,," PEG-LAX 3350 14ENV 8,5G",,,30049099,,Subs. Trib,,UN,,1,,45.46,45.46,
,85374,, PEPTINON 30CP REV,,,21069030,,Subs. Trib,,UN,,6,,11.71,70.26,
,87479,, PEPTINON LIQ 100ML,,,21069030,,Subs. Trib,,UN,,3,,6.9,20.7,
,14137,, PERCOF 6MG/ML XPE 120ML,,,30049069,,Subs. Trib,,UN,,1,,40.55,40.55,
,21838,, PERFENOL 20CAP,,,30049049,,Subs. Trib,,UN,,153,,4.36,667.08,
,82293,, PERMANG DE POT 100MG 30CP,,,30049099,,Subs. Trib,,UN,,2,,7.73,15.46,
,52406,, PERMENATI 10MG/ML LOC 60,,,30049021,,Subs. Trib,,UN,,3,,6.06,18.18,
,79115,, PERMESE SUS INJ 1ML,,,30049099,,Subs. Trib,,UN,,2,,23.1,46.2,
,84560,, PETIVIT BC XPE 240ML,,,30049099,,Subs. Trib,,UN,,6,,9.84,59.04,
,22081,," PILEM 0,75MG 2CP",,,30043939,,Subs. Trib,,UN,,1,,2.91,2.91,
,85249,, PIROXICAM 20MG 10CAP,,,30049073,,Subs. Trib,,UN,,5,,5.1,25.5,
